14:48:18 topic: inventory/Partition 0 | message lag: 0.0
14:48:18 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:19 topic: pageviews/Partition 0 | message lag: 0.0
14:48:19 topic: inventory/Partition 0 | message lag: 0.0
14:48:19 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:20 topic: pageviews/Partition 0 | message lag: 0.0
14:48:20 topic: inventory/Partition 0 | message lag: 0.0
14:48:20 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:21 topic: pageviews/Partition 0 | message lag: 0.0
14:48:21 topic: inventory/Partition 0 | message lag: 0.0
14:48:21 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:22 topic: pageviews/Partition 0 | message lag: 0.0
14:48:22 topic: inventory/Partition 0 | message lag: 0.0
14:48:22 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:23 topic: pageviews/Partition 0 | message lag: 0.0
14:48:23 topic: inventory/Partition 0 | message lag: 0.0
14:48:23 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:24 topic: pageviews/Partition 0 | message lag: 0.0
14:48:24 topic: inventory/Partition 0 | message lag: 0.0
14:48:24 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:25 topic: pageviews/Partition 0 | message lag: 0.0
14:48:25 topic: inventory/Partition 0 | message lag: 0.0
14:48:25 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:26 topic: pageviews/Partition 0 | message lag: 0.0
14:48:26 topic: inventory/Partition 0 | message lag: 0.0
14:48:26 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:27 topic: pageviews/Partition 0 | message lag: 0.0
14:48:27 topic: inventory/Partition 0 | message lag: 0.0
14:48:27 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:28 topic: pageviews/Partition 0 | message lag: 0.0
14:48:28 topic: inventory/Partition 0 | message lag: 0.0
14:48:28 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:29 topic: pageviews/Partition 0 | message lag: 0.0
14:48:29 topic: inventory/Partition 0 | message lag: 0.0
14:48:29 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:30 topic: pageviews/Partition 0 | message lag: 0.0
14:48:30 topic: inventory/Partition 0 | message lag: 0.0
14:48:30 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:31 topic: pageviews/Partition 0 | message lag: 0.0
14:48:31 topic: inventory/Partition 0 | message lag: 0.0
